Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
ES,02M151,Yorkville Community School,02M151KG,Kindergarten,Zoned,,
ES,02M158,P.S. 158 Bayard Taylor,02M158KG,Kindergarten,Zoned,,
MS,02M167,J.H.S. 167 Robert F. Wagner,M167M,Academic (Zoned Program),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,02M167,J.H.S. 167 Robert F. Wagner,M167N,Special Progress,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,02M177,Yorkville East Middle School,M177L,Yorkville East: L,Limited Unscreened,Priority to applicants eligible for free or reduced price lunch (based on family income) for 25% of Kindergarten seats,
MS,02M177,Yorkville East Middle School,M177S,Yorkville East: S,Screened,Priority to applicants eligible for free or reduced price lunch (based on family income) for 25% of Kindergarten seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,02M183,P.S. 183 Robert L. Stevenson,02M183KG,Kindergarten,Zoned,,
ES,02M198,P.S. 198 Isador E. Ida Straus,02M198GTD,District Gifted & Talented,District G&T,,
ES,02M198,P.S. 198 Isador E. Ida Straus,02M198KG,Kindergarten,Zoned,,
ES,02M212,P.S. 212 Midtown West,02M212KG,Kindergarten,Non-Zoned,,
ES,02M217,P.S./I.S. 217 Roosevelt Island,02M217GTD,District Gifted & Talented,District G&T,,
ES,02M217,P.S./I.S. 217 Roosevelt Island,02M217KG,Kindergarten,Zoned,,
MS,02M217,P.S./I.S. 217 Roosevelt Island,M217S,The Roosevelt Island (P.S./I.S. 217),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Final 4th Grade Report Card; On-Site Assessment
ES,02M225,Ella Baker School,02M225KG,Kindergarten,Non-Zoned,Priority to applicants eligible for free or reduced price lunch for 30% of seats,
MS,02M225,Ella Baker School,M225U,The Ella Baker School,Open,Priority to applicants eligible for free or reduced price lunch for 30% of seats,
ES,02M234,P.S. 234 Independence School,02M234KG,Kindergarten,Zoned,Priority to applicants living in temporary housing and/or eligible for free or reduced price lunch (based on family income) after all zoned students are admitted,
MS,02M255,M.S. 255 Salk School of Science,M255M,The Salk School of Science (M.S. 255),Screened,Priority to applicants eligible for free or reduced price lunch for 17% of seats,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Final 4th Grade Report Card
MS,02M260,The Clinton School,M260S,The Clinton School (M.S. 260),Screened,"MS: Priority to applicants eligible for free or reduced price lunch for 17% of seats
HS: Priority to applicants eligible for free or reduced price lunch for 33% of seats",4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
HS,02M260,The Clinton School,M64A,The Clinton School,Screened,"MS: Priority to applicants eligible for free or reduced price lunch for 17% of seats
HS: Priority to applicants eligible for free or reduced price lunch for 33% of seats",Attendance; Coure Grades; Punctuality; Standardized Test Scores: English Language Arts
ES,02M267,"East Side Elementary School, PS 267",02M267KG,Kindergarten,Zoned,,
ES,02M276,Battery Park City School,02M276KG,Kindergarten,Zoned,,
MS,02M276,Battery Park City School,M276L,Battery Park City School (P.S./I.S. 276),Limited Unscreened,,
HS,02M280,Manhattan Early College School for Advertising,M73A,Manhattan Early College School for Advertising,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Demonstrated Interest; Punctuality; Standardized Test Scores: English Language Arts, Math"
ES,02M281,The River School,02M281KG,Kindergarten,Zoned,,
HS,02M282,Urban Assembly Maker Academy,M61A,Urban Assembly Maker Academy,Ed. Opt.,Priority to applicants eligible for free or reduced price lunch for 70% of seats,We do not rank students for this program; all students will be selected randomly.
HS,02M288,Food and Finance High School,M34X,Food and Finance High School,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science; Punctuality; Standardized Test Scores: English Language Arts, Math"
MS,02M289,I.S. 289,M289S,Hudson River Middle School (I.S. 289),Screened,,Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,02M290,P.S. 290 Manhattan New School,02M290KG,Kindergarten,Zoned,,
HS,02M294,Essex Street Academy,M37X,Essex Street Academy,Open,,
HS,02M296,High School of Hospitality Management,M36X,High School of Hospitality Management,Ed. Opt.,,Attendance; Geographic Proximity
MS,02M297,M.S. 297,M297M,M.S. 297 Screened Program,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,02M297,M.S. 297,M297Z,M.S.297 Zoned Program,Zoned,,
HS,02M298,Pace High School,M38X,PACE High School,Ed. Opt.,,Attendance; Punctuality; Standardized Test Scores: Math
HS,02M300,"Urban Assembly School of Design and Construction, The",M44X,Urban Assembly School of Design and Construction,Ed. Opt.,,"Attendance; Course Grades: Average; Standardized Test Scores: English Language Arts, Math"
HS,02M303,"Facing History School, The",M02R,The Facing History School,Ed. Opt.,,"Attendance; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,02M305,"Urban Assembly Academy of Government and Law, The",M65R,The Urban Assembly Academy of Government and Law,Ed. Opt.,,"Attendance; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,02M308,Lower Manhattan Arts Academy,M05R,Lower Manhattan Arts Academy,Ed. Opt.,,Attendance
MS,02M312,New York City Lab Middle School for Collaborative Studies,M312M,NYC Lab Middle School for Collaborative Studies,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
HS,02M316,"Urban Assembly School of Business for Young Women, the",M63B,NAF Academy of Finance and Information Technology (NAFAFIT),Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
HS,02M316,"Urban Assembly School of Business for Young Women, the",M63R,The Urban Assembly School of Business for Young Women,Ed. Opt.,,We do not rank students for this program; all students will be selected randomly.
ES,02M340,Sixth Avenue Elementary School,02M340KG,Kindergarten,Zoned,,
ES,02M343,The Peck Slip School,02M343KG,Kindergarten,Zoned,,
ES,02M347,The 47 American Sign Language & English Lower School,02M347KG,Kindergarten,Non-Zoned,,
MS,02M347,The 47 American Sign Language & English Lower School,M347M,American Sign Language Program,Screened,,Academic and Personal Behavior Scores; Attendance; On-Site Assessment
HS,02M374,Gramercy Arts High School,M66A,Fine & Visual Arts,Audition,,Attendance and Punctuality; Audition; Course Grades: Average; Standardized Test Scores: Average
HS,02M374,Gramercy Arts High School,M66B,Performing Arts,Audition,,Attendance and Punctuality; Audition; Course Grades: Average; Standardized Test Scores: Average
HS,02M374,Gramercy Arts High School,M66I,Capstone Scholars,Screened,,Attendance and Punctuality; Course Grades: English; Math Exercise (On-Site); Standardized Test Scores: English Language Arts
